Platform,Content Type,Units per Month,Rate per Unit,Potential Monthly Revenue
YouTube,Sponsored Videos,4-6,"$500-$1,000","$2,000-$6,000"
YouTube,Brand Partnerships,2-3 packages,"$1,000-$2,000","$3,000-$5,000"
Podcast,Sponsorships per Episode,2-3 sponsors,$45-$90 per sponsor,"$720-$1,080 per episode"
Podcast,Episodes Produced,8-12 episodes,N/A,"$2,160-$3,240"
Podcast,Premium Subscribers,100-200 subscribers,$10-$20 per month,"$1,000-$4,000"
Federal Help Center,Sponsored Livestreams,4,"$500-$1,000","$2,000-$4,000"
Federal Help Center,Community Sponsorship,1 sponsor,"$1,500-$3,000","$1,500-$3,000"
Federal Help Center,Sponsored Webinars,2,"$1,000-$2,000","$2,000-$4,000"
Cross-Platform,Integrated Sponsorship Packages,1-2 sponsors,"$5,000-$10,000","$5,000-$10,000"
Cross-Platform,Affiliate Marketing,N/A,"$1,000-$2,000","$1,000-$2,000"
